RING PLANE CROSSING ,,,,,
"Seq  = Cassini planning sequence, Rev = revolution - defined from apoapse to apoapse",,,,,
"and Rs = 60,268 km",,,,,
Seq,Rev,Event,Epoch (SCET),Date,Range(Rs)
S30,44,Ascending Ring Crossing,2007-132T20:11,May12,19.674
S30,45,Descending Ring Crossing,2007-146T22:41,May26,3.508
S30,45,Ascending Ring Crossing,2007-148T18:36,May28,19.59
S31,46,Descending Ring Crossing,2007-162T23:30,Jun11,2.938
S31,46,Ascending Ring Crossing,2007-164T17:43,Jun13,19.665
S31,47,Descending Ring Crossing,2007-179T00:01,Jun28,2.584
S31,47,Ascending Ring Crossing,2007-183T14:32,Jul02,35.583
S32,48,Descending Ring Crossing,2007-201T15:01,Jul20,6.257
S32,48,Ascending Ring Crossing,2007-204T04:09,Jul23,24.108
S33,49,Descending Ring Crossing,2007-241T07:23,Aug29,6.301
S34,50,Ascending Ring Crossing,2007-273T06:06,Sep30,5.776
S34,50,Descending Ring Crossing,2007-274T22:50,Oct01,17.69
S34,50,Ascending Ring Crossing,2007-275T15:08,Oct02,22.856
S34,51,Descending Ring Crossing,2007-297T05:28,Oct24,4.184
S34,51,Ascending Ring Crossing,2007-299T10:28,Oct26,22.606
S35,52,Descending Ring Crossing,2007-321T05:21,Nov17,4.191
S35,52,Ascending Ring Crossing,2007-323T04:36,Nov19,20.832
S35,53,Descending Ring Crossing,2007-337T06:42,Dec03,2.672
S35,53,Ascending Ring Crossing,2007-339T02:17,Dec05,20.329
S36,54,Descending Ring Crossing,2007-353T03:35,Dec19,3.241
S36,54,Ascending Ring Crossing,2007-355T00:15,Dec21,20.062
S36,55,Descending Ring Crossing,2008-003T22:05,Jan03,4.361
S36,55,Ascending Ring Crossing,2008-005T22:21,Jan05,19.934
S36,56,Descending Ring Crossing,2008-015T21:04,Jan15,3.451
S36,56,Ascending Ring Crossing,2008-017T21:15,Jan17,19.825
S37,57,Descending Ring Crossing,2008-027T19:14,Jan27,3.452
S37,57,Ascending Ring Crossing,2008-029T19:10,Jan29,19.764
S37,58,Descending Ring Crossing,2008-039T17:52,Feb08,3.461
S37,58,Ascending Ring Crossing,2008-041T19:03,Feb10,20.073
S38,59,Descending Ring Crossing,2008-051T17:51,Feb20,3.459
S38,59,Ascending Ring Crossing,2008-053T18:22,Feb22,19.908
S38,60,Descending Ring Crossing,2008-062T03:13,Mar02,3.943
S38,60,Ascending Ring Crossing,2008-064T08:33,Mar04,19.987
S38,61,Descending Ring Crossing,2008-072T19:06,Mar12,3.948
S38,61,Ascending Ring Crossing,2008-075T00:16,Mar15,19.937
S39,62,Descending Ring Crossing,2008-083T10:20,Mar23,3.945
S39,62,Ascending Ring Crossing,2008-085T15:10,Mar25,19.859
S39,63,Descending Ring Crossing,2008-092T18:09,Apr01,4.49
S39,63,Ascending Ring Crossing,2008-095T04:56,Apr04,19.866
S39,64,Descending Ring Crossing,2008-102T08:05,Apr11,4.493
S39,64,Ascending Ring Crossing,2008-104T18:44,Apr13,19.83
S40,65,Descending Ring Crossing,2008-111T21:31,Apr20,4.487
S40,65,Ascending Ring Crossing,2008-114T08:05,Apr23,19.816
S40,66,Descending Ring Crossing,2008-121T10:44,Apr30,4.48
S40,66,Ascending Ring Crossing,2008-123T21:15,May02,19.816
S40,67,Descending Ring Crossing,2008-131T00:05,May10,4.478
S40,67,Ascending Ring Crossing,2008-133T10:31,May12,19.798
S40,68,Descending Ring Crossing,2008-138T23:04,May17,3.27
S40,68,Ascending Ring Crossing,2008-141T09:44,May20,19.808
S40,69,Descending Ring Crossing,2008-146T22:15,May25,3.27
S40,69,Ascending Ring Crossing,2008-149T08:58,May28,19.802
S41,70,Descending Ring Crossing,2008-153T22:26,Jun01,2.731
S41,70,Ascending Ring Crossing,2008-156T12:25,Jun04,19.836
S41,71,Descending Ring Crossing,2008-161T01:44,Jun09,2.73
S41,71,Ascending Ring Crossing,2008-163T15:56,Jun11,19.855
S41,72,Descending Ring Crossing,2008-168T04:50,Jun16,2.713
S41,72,Ascending Ring Crossing,2008-170T19:09,Jun18,19.875
S41,73,Descending Ring Crossing,2008-175T07:55,Jun23,2.711
S41,73,Ascending Ring Crossing,2008-177T21:40,Jun25,19.705
S41,74,Descending Ring Crossing,2008-182T08:45,Jun30,2.708
S42,74,Ascending Ring Crossing,2008-184T22:44,Jul02,19.728
S42,75,Descending Ring Crossing,2008-189T09:34,Jul07,2.707
S42,75,Ascending Ring Crossing,2008-191T23:47,Jul09,19.751
S42,76,Descending Ring Crossing,2008-196T10:23,Jul14,2.707
S42,76,Ascending Ring Crossing,2008-199T00:52,Jul17,19.779
S42,77,Descending Ring Crossing,2008-203T11:16,Jul21,2.709
S42,77,Ascending Ring Crossing,2008-206T02:02,Jul24,19.806
S42,78,Descending Ring Crossing,2008-210T12:14,Jul28,2.709
S42,78,Ascending Ring Crossing,2008-213T03:01,Jul31,19.792
S42,79,Descending Ring Crossing,2008-217T11:53,Aug04,3.962
S42,79,Ascending Ring Crossing,2008-220T12:22,Aug07,19.783
S43,80,Descending Ring Crossing,2008-224T21:06,Aug11,3.961
S43,80,Ascending Ring Crossing,2008-227T21:32,Aug14,19.758
S43,81,Descending Ring Crossing,2008-232T05:47,Aug19,3.935
S43,81,Ascending Ring Crossing,2008-235T06:08,Aug22,19.763
S43,82,Descending Ring Crossing,2008-239T14:34,Aug26,3.973
S43,82,Ascending Ring Crossing,2008-242T15:19,Aug29,19.774
S43,83,Descending Ring Crossing,2008-246T23:29,Sep02,3.966
