Planetas;distancia(m);velocidad (m/s);tiempo(s);tiempo(años)
Tierra;0;1,63E+05;0;0
Marte;3,99E+11;;2,45E+06;2,83E+01
Jupiter;6,60E+11;;4,05E+06;4,69E+01
Saturno;1,28E+12;;7,82E+06;9,05E+01
Urano;4,30E+12;;2,64E+07;3,05E+02
Neptuno;4,30E+12;;2,64E+07;3,05E+02
